option_type,strike,vol,maturity,time,tau,method,detail,max_rel,p99_rel,mae,max_abs
call,100.000000,0.200000,2.000000,1.600000,0.400000,log polynomial,"spot, degree=9",0.0046010854,0.0043271387,0.0047172214,0.0189511031
call,100.000000,0.400000,0.500000,0.100000,0.400000,log B-spline,"d1, knots=12",0.0041913041,0.0041292986,0.0100618891,0.1621230277
call,100.000000,0.400000,0.500000,0.100000,0.400000,log Chebyshev,"d1, degree=7",0.0010661062,0.0010552886,0.0077910705,0.1465855668
call,100.000000,0.400000,0.500000,0.100000,0.400000,log polynomial,"spot, degree=9",0.0029031553,0.0024791816,0.0456963418,0.4058132756
call,100.000000,0.400000,0.500000,0.200000,0.300000,log B-spline,"d1, knots=12",0.0021501648,0.0021284596,0.0111404877,0.0697372200
call,100.000000,0.400000,0.500000,0.200000,0.300000,log Chebyshev,"d1, degree=7",0.0020284943,0.0020219350,0.0084307528,0.0710167676
call,100.000000,0.400000,0.500000,0.200000,0.300000,log polynomial,"spot, degree=9",0.0017960888,0.0016050822,0.0206851279,0.2035080970
call,100.000000,0.400000,0.500000,0.300000,0.200000,log B-spline,"d1, knots=12",0.0032049830,0.0031442244,0.0050524172,0.0564618157
call,100.000000,0.400000,0.500000,0.300000,0.200000,log Chebyshev,"d1, degree=7",0.0010156887,0.0009128312,0.0063052423,0.0919269952
call,100.000000,0.400000,0.500000,0.300000,0.200000,log polynomial,"spot, degree=9",0.0005574931,0.0005533229,0.0037291831,0.0448373518
call,100.000000,0.400000,0.500000,0.400000,0.100000,log B-spline,"d1, knots=12",0.0045806395,0.0044800927,0.0033326985,0.0147700731
call,100.000000,0.400000,0.500000,0.400000,0.100000,log Chebyshev,"d1, degree=7",0.0032364022,0.0030622308,0.0125209203,0.1433402620
call,100.000000,0.400000,0.500000,0.400000,0.100000,log polynomial,"spot, degree=9",0.0033389684,0.0031833598,0.0061708611,0.0633072663
call,100.000000,0.400000,1.000000,0.200000,0.800000,log B-spline,"d1, knots=12",0.0051001668,0.0050646570,0.0410595428,0.3178013394
